Unnamed: 0,Last modified: 2011-10-07,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Version: 5.20111007,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,"NSA ""Guide to the Secure Configuration of Red Hat Enterprise Linux 5""","NSA ""Guide to the Secure Configuration of Red Hat Enterprise Linux 5"" - Revision 4, September 14, 2010","Old ""Unix-CCE-DRAFT-2"" ID"
CCE-3416-5,The rhnsd service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 2.1.2.2, Value: disabled",,CCE-U-203
CCE-4218-4,The yum-updatesd service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 2.1.2.3.2, Value: disabled",,CCE-U-203
CCE-4209-3,The AIDE package should be installed or not as appropriate,installed / uninstalled,via yum,,"Section: 2.1.3.1.1, Value: installed",,
CCE-4249-9,The nodev option should be enabled or disabled as appropriate for all non-root partitions.,enabled / disabled,via /etc/fstab,,"Section: 2.2.1.1, Value: enabled",,
CCE-3522-0,The nodev option should be enabled or disabled as appropriate for all removable media.,enabled / disabled,via /etc/fstab,,"Section: 2.2.1.2, Value: enabled",,Similar to CCE-U-170
CCE-4275-4,The noexec option should be enabled or disabled as appropriate for all removable media.,enabled / disabled,via /etc/fstab,,"Section: 2.2.1.2, Value: enabled",,Similar to CCE-U-170
CCE-4042-8,The nosuid option should be enabled or disabled as appropriate for all removable media.,enabled / disabled,via /etc/fstab,,"Section: 2.2.1.2, Value: enabled",,CCE-U-170
CCE-3685-5,Console device ownership should be restricted to root-only as appropriate.,root-only / not root-only,via /etc/security/console.perms.d/50-default.perms,,"Section: 2.2.2.1, Value: root-only",,
CCE-4187-1,The USB device support module should be loaded or not as appropriate,loaded / not loaded,via /etc/modprobe.conf,,"Section: 2.2.2.2.1, Value: not loaded",,
CCE-4006-3,The USB device support module should be installed or not as appropriate,installed / uninstalled,via kernel,,"Section: 2.2.2.2.2, Value: uninstalled",,
CCE-4173-1,USB kernel support should be enabled or disabled as appropriate.,enabled / disabled,via /etc/grub.conf,,"Section: 2.2.2.2.3, Value: disabled",,
CCE-3944-6,The ability to boot from USB devices should be enabled or disabled as appropriate,enabled / disabled,via BIOS,,"Section: 2.2.2.2.4, Value: disabled",,
CCE-4072-5,The autofs service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 2.2.2.3, Value: disabled",,CCE-U-203
CCE-4231-7,The GNOME automounter (gnome-volume-manager) should be enabled or disabled as appropriate,enabled / disabled,via gconftool-2,,"Section: 2.2.2.4, Value: disabled",,CCE-U-203
CCE-3988-3,The /etc/shadow file should be owned by the appropriate group.,group,via chown,,"Section: 2.2.3.1, Value: root",,CCE-U-23
CCE-3883-6,The /etc/group file should be owned by the appropriate group.,group,via chown,,"Section: 2.2.3.1, Value: root",,CCE-U-202
CCE-3276-3,The /etc/group file should be owned by the appropriate user.,user,via chown,,"Section: 2.2.3.1, Value: root",,CCE-U-201
CCE-3932-1,File permissions for /etc/gshadow should be set correctly.,permissions,via chmod,,"Section: 2.2.3.1, Value: 400",,CCE-U-200
CCE-4064-2,The /etc/gshadow file should be owned by the appropriate group.,group,via chown,,"Section: 2.2.3.1, Value: root",,CCE-U-202
CCE-4210-1,The /etc/gshadow file should be owned by the appropriate user.,user,via chown,,"Section: 2.2.3.1, Value: root",,CCE-U-201
CCE-3918-0,The /etc/shadow file should be owned by the appropriate user.,user,via chown,,"Section: 2.2.3.1, Value: root",,CCE-U-22
CCE-3566-7,File permissions for /etc/passwd should be set correctly.,permissions,via chmod,,"Section: 2.2.3.1, Value: 644",,CCE-U-19
CCE-3958-6,The /etc/passwd file should be owned by the appropriate user.,user,via chown,,"Section: 2.2.3.1, Value: root",,CCE-U-20
CCE-3967-7,File permissions for /etc/group should be set correctly.,permissions,via chmod,,"Section: 2.2.3.1, Value: 644",,CCE-U-200
CCE-3495-9,The /etc/passwd file should be owned by the appropriate group.,group,via chown,,"Section: 2.2.3.1, Value: root",,CCE-U-21
CCE-4130-1,File permissions for /etc/shadow should be set correctly.,permissions,via chmod,,"Section: 2.2.3.1, Value: 400",,CCE-U-24
CCE-3399-3,The sticky bit should be set or not set as appropriate for all world-writable directories.,set / not set,via chmod,,"Section: 2.2.3.2, Value: set",,CCE-U-171
CCE-3795-2,The world-write permission should be enabled or disabled as appropriate for all files.,enabled / disabled,via chmod,,"Section: 2.2.3.3, Value: disabled",,CCE-U-24
CCE-4178-0,The sgid bit should be set or not set as appropriate for all files.,set / not set,via chmod,,"Section: 2.2.3.4, Value: not set",,
CCE-3324-1,The suid bit should be set or not set as appropriate for all files.,set / not set,via chmod,,"Section: 2.2.3.4, Value: not set",,
CCE-4223-4,All files should be owned by a user as appropriate,user / none,via chown,,"Section: 2.2.3.5, Value: user",,
CCE-3573-3,All files should be owned by a group as appropriate,group / none,via chgrp,,"Section: 2.2.3.5, Value: group",,
CCE-4220-0,The daemon umask should be set as appropriate,permissions mask,via /etc/sysconfig/init,,"Section: 2.2.4.1, Value: 027",,
CCE-4225-9,Core dumps for all users should be enabled or disabled as appropriate,enabled / disabled,via /etc/security/limits.conf,,"Section: 2.2.4.2, Value: disabled",,
CCE-4247-3,Core dumps for setuid programs should be enabled or disabled as appropriate,enabled / disabled,via sysctl - fs.suid_dumpable,,"Section: 2.2.4.2, Value: disabled",,
CCE-4146-7,ExecShield randomized placement of virtual memory regions should be enabled or disabled as appropriate,enabled / disabled,via sysctl - kernel.randomize_va_space,,"Section: 2.2.4.3, Value: enabled",,
CCE-4168-1,ExecShield should be enabled or disabled as appropriate,enabled / disabled,via sysctl - kernel.exec-shield,,"Section: 2.2.4.3, Value: enabled",,
CCE-4172-3,Kernel support for the XD/NX processor feature should be enabled or disabled as appropriate,enabled / disabled,via kernel-PAE,,"Section: 2.2.4.4.2, Value: enabled",,
CCE-4177-2,The XD/NX processor feature should be enabled or disabled as appropriate in the BIOS,enabled / disabled,via BIOS,,"Section: 2.2.4.4.3, Value: enabled",,
CCE-3820-8,Logins through the specified virtual console interface should be enabled or disabled as appropriate,enabled/disabled,via /etc/securetty,,"Section: 2.3.1.1, Value: enabled",,CCE-U-200
CCE-3485-0,Logins through the specified virtual console device should be enabled or disabled as appropriate,enabled/disabled,via /etc/securetty,,"Section: 2.3.1.1, Value: enabled",,CCE-U-200
CCE-4111-1,Logins through the primary console device should be enabled or disabled as appropriate,enabled/disabled,via /etc/securetty,,"Section: 2.3.1.1, Value: enabled",,CCE-U-200
CCE-4256-4,Login prompts on serial ports should be enabled or disabled as appropriate.,enabled/disabled,via /etc/securetty,,"Section: 2.3.1.1, Value: enabled",,CCE-U-155
CCE-4274-7,Command access to the root account should be enabled or disabled as appropriate.,enabled/disabled,via pam,,"Section: 2.3.1.2, Value: enabled",,CCE-U-15
CCE-4044-4,Sudo privileges should granted or rejected to the wheel group as appropriate,grant/reject,vi /etc/sudoers,,"Section: 2.3.1.3, Value: granted",,CCE-U-200
CCE-3987-5,Login access to non-root system accounts should be enabled or disabled as appropriate ,enabled/disabled,via /etc/passwd,,"Section: 2.3.1.4, Value: disabled",,CCE-U-200
CCE-4238-2,Login access to accounts without passwords should be enabled or disabled as appropriate,enabled/disabled,via /etc/shadow,,"Section: 2.3.1.5, Value: disabled",,CCE-U-200
CCE-4009-7,Anonymous root logins are enabled or disabled as appropriate,enabled/disabled,via /etc/passwd,,"Section: 2.3.1.6, Value: disabled",,CCE-U-200
CCE-4154-1,The password minimum length should be set appropriately,length of password,"(1) via pam_cracklib
(2) via pam_passwdqc",,"Section: 2.3.1.7, Value: 8",Section: 2.3.3.1.1 - Set Password Quality Requirements,CCE-U-200
CCE-4180-6,"The ""minimum password age"" policy should meet minimum requirements.  ",number of days,via /etc/login.defs,,"Section: 2.3.1.7, Value: 7",,CCE-U-7
CCE-4092-3,"The ""maximum password age"" policy should meet minimum requirements.  ",number of days,via /etc/login.defs,,"Section: 2.3.1.7, Value: 180",,CCE-U-8
CCE-4097-2,The password warn age should be set appropriately,number of days,via /etc/login.defs,,"Section: 2.3.1.7, Value: 8",,CCE-U-200
CCE-4114-5,NIS file inclusions should be set appropriately in the /etc/passwd file,allowed/not allowed,via Text editor,,"Section: 2.3.1.8, Value: ",,CCE-U-200
CCE-3762-2,"DEPRECATED in favor of CCE-14113-5, CCE-14672-0, CCE-14712-4, CCE-14122-6.  Was: The password strength should meet minimum requirements",,,,"Section: 2.3.3.1, Value: ",,CCE-U-200
CCE-3410-8,"The ""account lockout threshold"" policy should meet minimum requirements.  ",number of attempts,via PAM,,"Section: 2.3.3.2, Value: ",,CCE-U-4
CCE-4185-5,The /usr/sbin/userhelper file should be owned by the appropriate group.,group,via chgrp,,"Section: 2.3.3.4, Value: usergroup",,CCE-U-202
CCE-3952-9,File permissions for /usr/sbin/userhelper should be set correctly.,permissions,via chmod,,"Section: 2.3.3.4, Value: 4710",,"CCE-U-200
"
CCE-3301-9,The PATH variable should be set correctly for user root,path,,,"Section: 2.3.4.1, Value: ",,CCE-U-26
CCE-4090-7,File permissions should be set correctly for the home directories for all user accounts.,permissions,,,"Section: 2.3.4.2, Value: g-w,o-rwx",,CCE-U-162
CCE-3844-8,The default umask for all users should be set correctly for the bash shell,umask,umask,,"Section: 2.3.4.4, Value: 077",,CCE-U-31
CCE-4227-5,The default umask for all users should be set correctly for the csh shell,,,,"Section: 2.3.4.4, Value: 077",,CCE-U-31
CCE-3870-3,The default umask for all users should be set correctly,,,,"Section: 2.3.4.4, Value: 077",,CCE-U-31
CCE-4144-2,The /etc/grub.conf file should be owned by the appropriate user.,user,via chown,,"Section: 2.3.5.2, Value: root",,CCE-U-201
CCE-3923-0,File permissions for /etc/grub.conf should be set correctly.,permissions,via chmod,,"Section: 2.3.5.2, Value: 600",,CCE-U-200
CCE-3818-2,The grub boot loader should have password protection enabled or disabled as appropriate,password,via /etc/grub.conf,,"Section: 2.3.5.2, Value:",,
CCE-4197-0,The /etc/grub.conf file should be owned by the appropriate group.,group,via chown,,"Section: 2.3.5.2, Value: root",,CCE-U-202
CCE-4241-6,The requirement for a password to boot into single-user mode should be configured correctly.,enabled/disabled,via /etc/inittab,,"Section: 2.3.5.3, Value: enabled",,CCE-U-1
CCE-4245-7,The ability for users to perform interactive startups should be enabled or disabled as appropriate.,enabled/disabled,via /etc/sysconfig/init,,"Section: 2.3.5.4, Value: disabled",,
CCE-3689-7,The idle time-out value for the default /bin/tcsh shell should meet the minimum requirements.,number of minutes,via autolockout,,"Section: 2.3.5.5, Value: 10",,
CCE-3707-7,The idle time-out value for the default /bin/bash shell should meet the minimum requirements.,number of minutes,via /etc/profile.d,,"Section: 2.3.5.5, Value: 10",,
CCE-3315-9,The allowed period of inactivity gnome desktop lockout should be configured correctly.,number of minutes,via gconftool-2,,"Section: 2.3.5.6.1, Value: 10",,CCE-U-6
CCE-3910-7,The vlock package should be installed or not as appropriate,number of minutes,via gconftool-2,,"Section: 2.3.5.6.1, Value: ",,
CCE-4060-0,The system login banner text should be set correctly.,banner text,via /etc/motd,,"Section: 2.3.7.1, Value: ",,
CCE-4188-9,The direct gnome login warning banner should be set correctly.,banner text/xml,via RHEL.xml,,"Section: 2.3.7.2, Value: ",,
CCE-3977-6,SELinux should be enabled or disabled as appropriate,enforcing / permissive / disabled,via /etc/selinux/config,,"Section: 2.4.2, Value: enabled",,
CCE-3999-0,The SELinux state should be set appropriately.,enforcing / permissive / disabled,via /etc/selinux/config,,"Section: 2.4.2, Value: enforcing",,
CCE-3624-4,The SELinux policy should be set appropriately.,targeted / strict / mls,via /etc/selinux/config,,"Section: 2.4.2, Value: targeted",,
CCE-4254-9,The setroubleshoot service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 2.4.3.1, Value: disabled",,CCE-U-203
CCE-4148-3,The setroubleshoot package should be installed or uninstalled as appropriate.,installed / uninstalled,via yum,,"Section: 2.4.3.1, Value: uninstalled",,
CCE-3668-1,The mcstrans service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 2.4.3.2, Value: disabled",,CCE-U-203
CCE-4129-3,The restorecond service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 2.4.3.3, Value: enabled",,CCE-U-203
CCE-4151-7,The default setting for sending ICMP redirects should be enabled or disabled for network interfaces as appropriate.,enabled / disabled,via sysctl - net.ipv4.conf.default.send_redirects,,"Section: 2.5.1.1, Value: disabled",,
CCE-4155-8,Sending ICMP redirects should be enabled or disabled for all interfaces as appropriate.,enabled / disabled,via sysctl - net.ipv4.conf.all.send_redirects,,"Section: 2.5.1.1, Value: disabled",,
CCE-3561-8,IP forwarding should be enabled or disabled as appropriate.,enabled / disabled,via sysctl - net.ipv4.ip_forward,,"Section: 2.5.1.1, Value: disabled",,CCE-U-134
CCE-3472-8,"Accepting ""secure"" ICMP redirects (those from gateways listed in the default gateways list) should be enabled or disabled for all interfaces as appropriate.",enabled / disabled,via sysctl - net.ipv4.conf.all.secure_redirects,,"Section: 2.5.1.2, Value: disabled",,
CCE-4217-6,Accepting ICMP redirects should be enabled or disabled for all interfaces as appropriate.,enabled / disabled,via sysctl - net.ipv4.conf.all.accept_redirects,,"Section: 2.5.1.2, Value: disabled",,
CCE-4133-5,Ignoring bogus ICMP responses to broadcasts should be enabled or disabled as appropriate.,enabled / disabled,via sysctl - net.ipv4.icmp_ignore_bogus_error_messages,,"Section: 2.5.1.2, Value: enabled",,
CCE-4265-5,Sending TCP syncookies should be enabled or disabled as appropriate.,enabled / disabled,via sysctl - net.ipv4.tcp_syncookies,,"Section: 2.5.1.2, Value: enabled",,
CCE-3644-2,Ignoring ICMP echo requests (pings) sent to broadcast / multicast addresses should be enabled or disabled as appropriate.,enabled / disabled,via sysctl - net.ipv4.icmp_echo_ignore_broadcasts,,"Section: 2.5.1.2, Value: enabled",,
CCE-4186-3,The default setting for accepting ICMP redirects should be enabled or disabled for network interfaces as appropriate.,enabled / disabled,via sysctl - net.ipv4.conf.default.accept_redirects,,"Section: 2.5.1.2, Value: disabled",,
CCE-4080-8,Performing source validation by reverse path should be enabled or disabled for all interfaces as appropriate.,enabled / disabled,via sysctl - net.ipv4.conf.all.rp_filter,,"Section: 2.5.1.2, Value: enabled",,
CCE-3339-9,"The default setting for accepting ""secure"" ICMP redirects (those from gateways listed in the default gateways list) should be enabled or disabled for network interfaces as appropriate.",enabled / disabled,via sysctl - net.ipv4.conf.default.secure_redirects,,"Section: 2.5.1.2, Value: disabled",,
CCE-4320-8,"Logging of ""martian"" packets (those with impossible addresses) should be enabled or disabled for all interfaces as appropriate.",enabled / disabled,via sysctl - net.ipv4.conf.all.log_martians,,"Section: 2.5.1.2, Value: enabled",,
CCE-3840-6,The default setting for performing source validation by reverse path should be enabled or disabled for network interfaces as appropriate.,enabled / disabled,via sysctl - net.ipv4.conf.default.rp_filter,,"Section: 2.5.1.2, Value: enabled",,
CCE-4091-5,The default setting for accepting source routed packets should be enabled or disabled for network interfaces as appropriate.,enabled / disabled,via sysctl - net.ipv4.conf.default.accept_source_route,,"Section: 2.5.1.2, Value: disabled",,
CCE-4236-6,Accepting source routed packets should be enabled or disabled for all interfaces as appropriate.,enabled / disabled,via sysctl - net.ipv4.conf.all.accept_source_route,,"Section: 2.5.1.2, Value: disabled",,
CCE-3628-5,All wireless devices should be enabled or disabled in the BIOS as appropriate.,enabled / disabled,via BIOS menus,,"Section: 2.5.2.2.1, Value: disabled",,
CCE-4276-2,All wireless interfaces should be enabled or disabled as appropriate.,enabled / disabled,via ifconfig,,"Section: 2.5.2.2.2, Value: disabled",,
CCE-4170-7,Device drivers for wireless devices should be included or excluded from the kernel as appropriate.,included / excluded,via modprobe,,"Section: 2.5.2.2.3, Value: excluded",,
CCE-3562-6,Automatic loading of the IPv6 kernel module should be enabled or disabled as appropriate.,enabled / disabled,via /etc/modprobe.conf,,"Section: 2.5.3.1.1, Value: disabled",,
CCE-3377-9,Global IPv6 initialization should be enabled or disabled as appropriate.,enabled / disabled,via /etc/sysconfig/network,,"Section: 2.5.3.1.2, Value: disabled",,
CCE-4296-0,IPv6 configuration should be enabled or disabled as appropriate for all interfaces.,enabled / disabled,"via NETWORKING_IPV6 in /etc/sysconfig/network
via IPV6INIT in /etc/sysconfig/network
via IPV6INIT in /etc/sysconfig/network-scripts/ifcfg-<interface>",,"Section: 2.5.3.1.2, Value: disabled",,
CCE-3381-1,The default setting for IPv6 configuration should be enabled or disabled for network interfaces as appropriate.,enabled / disabled,via IPV6_AUTOCONF in /etc/sysconfig/network,,"Section: 2.5.3.1.2, Value: disabled",,
CCE-4269-7,Accepting IPv6 router advertisements should be enabled or disabled as appropriate for all network interfaces.,enabled / disabled,via sysctl -w net.ipv6.conf.default.accept_ra=1,,"Section: 2.5.3.2.1, Value: disabled",,
CCE-4291-1,The default setting for accepting IPv6 router advertisements should be enabled or disabled for network interfaces as appropriate.,enabled / disabled,via IPV6_AUTOCONF in /etc/sysconfig/network,,"Section: 2.5.3.2.1, Value: disabled",,
CCE-4313-3,Accepting redirects from IPv6 routers should be enabled or disabled as appropriate for all network interfaces.,enabled / disabled,via sysctl -w net.ipv6.conf.default.accept_redirects=1,,"Section: 2.5.3.2.1, Value: disabled",,
CCE-4198-8,The default setting for accepting redirects from IPv6 routers should be enabled or disabled for network interfaces as appropriate.,enabled / disabled,via IPV6_AUTOCONF in /etc/sysconfig/network,,"Section: 2.5.3.2.1, Value: disabled",,
CCE-3842-2,IPv6 privacy extensions should be configured appropriately for all interfaces.,disabled / lightweight / rfc3041 (alias yes),via IPV6_PRIVACY in /etc/sysconfig/network-scripts/ifcfg-<interface>,,"Section: 2.5.3.2.3, Value: rfc3041",,
CCE-4221-8,The default setting for accepting router preference via IPv6 router advertisement should be enabled or disabled for network interfaces as appropriate.,enabled / disabled,via sysctl - net.ipv6.conf.default.accept_ra_rtr_pref,,"Section: 2.5.3.2.5, Value: disabled",,
CCE-4137-6,The default number of global unicast IPv6 addresses allowed per network interface should be set appropriately. ,number,via sysctl - net.ipv6.conf.default.max_addresses,,"Section: 2.5.3.2.5, Value: 1",,
CCE-4159-0,The default number of IPv6 router solicitations for network interfaces to send should be set appropriately. ,number,via sysctl - net.ipv6.conf.default.router_solicitations,,"Section: 2.5.3.2.5, Value: 0",,
CCE-3895-0,The default number of IPv6 duplicate address detection solicitations for network interfaces to send per configured address should be set appropriately. ,number,via sysctl - net.ipv6.conf.default.dad_transmits,,"Section: 2.5.3.2.5, Value: 0",,
CCE-4287-9,The default setting for autoconfiguring network interfaces using prefix information in IPv6 router advertisements should be enabled or disabled as appropriate.,enabled / disabled,via sysctl - net.ipv6.conf.default.autoconf,,"Section: 2.5.3.2.5, Value: disabled",,
CCE-4058-4,The default setting for accepting prefix information via IPv6 router advertisement should be enabled or disabled for network interfaces as appropriate.,enabled / disabled,via sysctl - net.ipv6.conf.default.accept_ra_pinfo,,"Section: 2.5.3.2.5, Value: disabled",,
CCE-4128-5,The default setting for accepting a default router via IPv6 router advertisement should be enabled or disabled for network interfaces as appropriate.,enabled / disabled,via sysctl - net.ipv6.conf.default.accept_ra_defrtr,,"Section: 2.5.3.2.5, Value: disabled",,
CCE-4167-3,The ip6tables service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 2.5.5.1, Value: enabled",,CCE-U-203
CCE-4189-7,The iptables service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 2.5.5.1, Value: enabled",,CCE-U-203
CCE-3679-8,The syslog service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 2.6.1, Value: enabled",,CCE-U-203
CCE-3701-0,All syslog log files should be owned by the appropriate group.,group,via chown,,"Section: 2.6.1.2, Value: root",,CCE-U-202?
CCE-4233-3,File permissions for all syslog log files should be set correctly.,permissions,via chmod,,"Section: 2.6.1.2, Value: 600",,CCE-U-200?
CCE-4366-1,All syslog log files should be owned by the appropriate user.,user,via chown,,"Section: 2.6.1.2, Value: root",,CCE-U-201?
CCE-4260-6,Syslog logs should be sent to a remote loghost or not as appropriate,sent / not sent,via /etc/syslog.conf,,"Section: 2.6.1.3, Value: sent",,
CCE-3382-9,Syslogd should accept remote messages or not as appropriate,accept / reject,via /etc/sysconfig/syslog,,"Section: 2.6.1.4, Value: accept",,CCE-U-131
CCE-4182-2,The logrotate (syslog rotater) service should be enabled or disabled as appropriate.,enabled / disabled,via cron,,"Section: 2.6.1.5, Value: enabled",,CCE-U-203
CCE-4323-2,The logwatch service should be enabled or disabled as appropriate,enabled / disabled,via cron,,"Section: 2.6.1.6, Value: disabled",,CCE-U-203
CCE-4292-9,The auditd service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 2.6.2.1, Value: enabled",,CCE-U-203
CCE-4234-1,The inetd service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 3.2.1, Value: disabled",,CCE-U-72
CCE-4252-3,The xinetd service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 3.2.1, Value: disabled",,CCE-U-73
CCE-4023-8,The inetd package should be installed or uninstalled as appropriate.,installed / uninstalled,via yum,,"Section: 3.2.1, Value: uninstalled",,
CCE-4164-0,The xinetd package should be installed or uninstalled as appropriate.,installed / uninstalled,via yum,,"Section: 3.2.1, Value: uninstalled",,
CCE-3390-2,The telnet service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 3.2.2, Value: disabled",,CCE-U-104
CCE-4330-7,The telnet-server package should be installed or uninstalled as appropriate.,installed / uninstalled,via yum,,"Section: 3.2.2, Value: uninstalled",,
CCE-3974-3,The rcp service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 3.2.3.1, Value: disabled",,CCE-U-203
CCE-4141-8,The rsh service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 3.2.3.1, Value: disabled",,CCE-U-83
CCE-3537-8,The rlogin service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 3.2.3.1, Value: disabled",,CCE-U-82
CCE-4308-3,The rsh package should be installed or uninstalled as appropriate.,installed / uninstalled,via yum,,"Section: 3.2.3.1, Value: uninstalled",,
CCE-3705-1,The ypbind service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 3.2.4, Value: disabled",,CCE-U-203
CCE-4348-9,The ypserv package should be installed or uninstalled as appropriate.,installed / uninstalled,via yum,,"Section: 3.2.4, Value: uninstalled",,
CCE-4273-9,The tftp service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 3.2.5, Value: disabled",,CCE-U-118
CCE-3916-4,The tftp-server package should be installed or uninstalled as appropriate.,installed / uninstalled,via yum,,"Section: 3.2.5, Value: uninstalled",,
CCE-3412-4,The firstboot service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 3.3.1, Value: disabled",,CCE-U-203
CCE-4229-1,The gpm service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 3.3.2, Value: disabled",,CCE-U-203
CCE-4123-6,The irqbalance service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 3.3.3, Value: enabled",,CCE-U-203
CCE-4286-1,The isdn service should be enabled or disabled as appropriate.,enabled / disabled,via chkconfig,,"Section: 3.3.4, Value: disabled",,CCE-U-203
